Source_ID,Study_ID,Source_Summary,FirstAuthor_LastName,Source,Source_Type,DOI,Publication_Year,Data_Specific_Location,Sampling_Methods,Method_Hand_Sorting,Method_Extractant,Method_Under_Feature_Search,Method_Electrical_Octet,Method_Pitfall_Traps,Method_Surface_or_Cast_Counting,Method_Other,Data_Incidence,Data_Abundance,Data_Biomass,Data_Taxa,Data_Species_Specific,Data_Climate,Data_Soil,Habitat_Arable,Habitat_Grassland,Habitat_Wooded,Habitat_Wetland_Upland,Habitat_Brownfield,Habitat_Coastal,Habitat_Freshwater_Shoreline,Habitat_Urban,Habitat_Horticulture,Habitat_Other,Habitat_Notes,Natural_Or_Experimental,Spatial_Extent,General_Location,Country,Number_Of_Sites,Plot_Types_Sampled,First_Sampling_Year,Sampling_Years,Notes
A63,190,"Button et al., 2011, Chemosphere - Arsenic speciation in field-collected and laboratory-exposed earthworms Lumbricus terrestris",Button,Chemosphere,Journal,10.1016/j.chemosphere.2011.07.026,2011,Yes,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,Lumbricus terrestris,0,0,0,1,0,0,1,0,0,0,1,1,"""uncontaminated garden soil"" - not specified as vegetable/flower bed or lawn, so both included; also from a former arsenic mine",Natural,Multiple site-multiple region,Devon; Nottingham,England,2,2,NA,NA,
A62,191,"Carrington and Diaz, 2011, Restoration Ecology - An Investigation into the Effect of Soil and Vegetation on the Successful Creation of a Hay Meadow on a Clay-Capped Landfill",Carrington,Restoration Ecology,Journal,10.1111/j.1526-100X.2009.00533.x,2011,Yes,Extractant,0,1,0,0,0,0,0,1,1,1,0,,0,1,0,1,0,0,1,0,0,0,0,0,,Experimental,Single site,Somerset,England,1,3,2004,2004/2006,
A61,192,"Callaham et al., 2012, European Journal of Soil Biology - Stable isotope evidence for marine-derived avian inputs of nitrogen into soil, vegetation, and earthworms on the Isle of Rum, Scotland, UK",Callaham,European Journal of Soil Biology,Journal,10.1016/j.ejsobi.2012.07.004,2012,No,Under features,0,0,1,0,0,0,0,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,1,,Both,Multiple site-single region,Isle of Rum,Scotland,2,2,2007,2007-2008,
A60,193,"Bone, 2012b, PhD Thesis - Environmental Quality Management for Soil Protection: The Role of Citizen Science in the Process",Bone,PhD Thesis,Thesis,NA,2012,No,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,,0,0,1,1,1,1,1,0,0,1,0,1,,Natural,Multiple site-multiple region,England,England,2671,2671,NA,NA,
A59,194,"Cudmore, 2012, PhD Thesis - The impacts of past land-use on the ecology of an ancient woodland in south-west Ireland",Cudmore,PhD Thesis,Thesis,NA,2012,Yes,Extractant,0,1,0,0,0,0,0,1,1,0,1,,1,1,0,0,1,0,0,0,0,0,0,0,,Natural,Multiple site-single region,County Cork,Republic of Ireland,1,4,2009,2009,
A58,195,"Carpenter et al., 2012b, Biodiversity and Conservation - Mapping of earthworm distribution for the British Isles and Eire highlights the under-recording of an ecologically important group",Carpenter,Biodiversity and Conservation,Journal_Metaanalysis,10.1007/s10531-011-0194-x,2012,No,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Multiple site-multiple region,Republic of Ireland; England; Scotland; Wales; Northern Ireland,Republic of Ireland; England; Scotland; Wales; Northern Ireland,NA,NA,NA,NA,
A57,196,"Bone et al., 2012a, Environmental Science and Technology - Public Participation in Soil Surveys: Lessons from a Pilot Study in England",Bone,Environmental Science and Technology,Journal,10.1021/es203880p,2012,No,Hand-sorting + Extractant,1,1,0,0,0,0,0,1,1,0,1,,0,1,1,1,1,1,1,0,0,1,0,1,,Natural,Multiple site-multiple region,England,England,2671,2671,2009,2009-2010,"Also in Bone, 2012b, PhD Thesis"
A56,197,"Rajapaksha, 2012, PhD Thesis - Short rotation forestry and earthworm diversity: Impacts and responses",Rajapaksha,PhD Thesis,Thesis,NA,2012,Yes,Hand-sorting; Extractant,1,1,0,0,0,0,0,1,1,1,1,,1,1,1,0,0,0,0,0,0,0,0,0,,Natural,Multiple site-multiple region,Lancashire,England,4,13,2010,2010-2011,
A55,198,"Melody and Schmidt, 2012, Biology Letters - Northward range extension of an endemic soil decomposer with a distinct trophic position",Melody,Biology Letters,Journal,10.1098/rsbl.2012.0537,2012,Yes,Hand-sorting + Extractant,1,1,0,0,0,0,0,1,1,1,1,,0,0,0,1,1,0,0,0,0,0,1,0,"""reseeded pasture, reseeded pasture margin, old pasture, old pasture margin, meadow, deciduous wood, coniferous wood, compost heap, manure heap, formal garden and vegetable garden""",Natural,Single site,County Dublin,Republic of Ireland,1,11,2011,2011,
A54,199,"Haigh et al., 2012, Mammalia - Intra- and interhabitat differences in hedgehog distribution and potential prey availability",Haigh,Mammalia,Journal,0.1515/mammalia-2011-0110,2012,No,Surface counting,0,0,0,0,0,1,0,1,1,0,0,,0,0,1,1,0,0,0,0,0,0,0,0,,Natural,Multiple site-single region,County Cork,Republic of Ireland,1,16,2008,2008-2009,
